pname,society,price,price_per_sqft,total_area,area_sqm,area_type,possesion,description,Dimensions,Price,Address,Facing,No. of Open Sides,Overlooking,Possession,Boundary wall,Gated Society,Width of facing road,Authority approved,Floors Allowed For Construction,Corner Property
"Residential land / Plot in Shymapalli Colony, Bhopal","AMRITPURI AWADHPURI,BHOPAL",₹64.5 Lac,"₹4,300 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,"30x50 plot size are available in awadhpuri area , north facing, covered campus","Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 64.5 Lac
@ 4,300 per sq.ft.","AMRITPURI AWADHPURI,BHOPAL
Shymapalli Colony, Bhopal",North,1.0,,Immediate,,Yes,,,3 Floors,
"Residential land / Plot in Nehru Nagar , Bhopal","Nehru Nagar , Bhopal",₹90 Lac,"₹7,407 /sqft","1,215 sqft",(113 sqm),Plot Area,Ready To Move,Planning to build residence in bhopal? This plot in nehru nagar is the best deal for you. It spans over spectacular 1215 sq.Ft. Super built up area. This property allows you to construct upto 2 floors. Expected possession of property immediately. Currently the nature of ownership of the property is freehold. The expected price for the property is just 90 lac and it is negotiable. It's a south-F...,"Plot area 1215
(112.88 sq.m.)  
sq.ft.","₹ 90 Lac
@ 7,407 per sq.ft. (Negotiable) View Price Details","Nehru Nagar , Bhopal",South,1.0,Park/Garden,Immediate,,,,,2 Floors,
"Residential land / Plot in Nehru Nagar , Bhopal","Nehru Nagar , Bhopal",₹90 Lac,"₹7,407 /sqft","1,215 sqft",(113 sqm),Plot Area,Ready To Move,Planning to build residence in bhopal? This plot in nehru nagar is the best deal for you. It spans over spectacular 1215 sq.Ft. Super built up area. This property allows you to construct upto 2 floors. Expected possession of property immediately. Currently the nature of ownership of the property is freehold. The expected price for the property is just 90 lac and it is negotiable. It's a south-F...,"Plot area 1215
(112.88 sq.m.)","₹ 90 Lac
@ 7,407 per sq.ft. (Negotiable) View Price Details","Nehru Nagar , Bhopal",South,1.0,Park/Garden,Immediate,,,,,2 Floors,
"Residential land / Plot in Bawadia Kalan, Bhopal","Bawadia Kalan, Bhopal",₹1.15 Cr,"₹7,666 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,"Plot for sale in bawadia kalan is available in bhopal. This locality resonates with your modern lifestyle. It spreads over 1500 sq.Ft. Super built up area. Here, a solid foundation can easily withhold construction of 2 floors. The possession of the property can be received immediately. The type of ownership is freehold. The price of this massive plot is just 1.15 crore. Further negotiations can...","Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 1.15 Crore
@ 7,666 per sq.ft. (Negotiable) View Price Details","Bawadia Kalan, Bhopal",East,1.0,Park/Garden,Immediate,,,,,2 Floors,
"Residential land / Plot in Bypass Road, Bhopal","Bypass Road, Bhopal",₹17 Lac,"₹1,889 /sqft",900 sqft,(84 sqm),Plot Area,Ready To Move,"I have a land available for sale in bypass road, ajmer. Available at price of rs 17 lacs. It has plot area of 100 sq yards. It is a freehold property","Plot area 100
(83.61 sq.m.)  
sq.yards","₹ 17 Lac
@ 17,000 per sq.yards","Bypass Road, Bhopal",,,,Immediate,Yes,,,,,
"Residential land / Plot in Kalpana Nagar, Bhopal","Kalpana Nagar, Bhopal",₹80 Lac,"₹4,705 /sqft","1,700 sqft",(158 sqm),Plot Area,Ready To Move,Best for building hostel businesses,"Plot area 1700
(157.94 sq.m.)  
sq.ft.","₹ 80 Lac
@ 4,705 per sq.ft.","Kalpana Nagar, Bhopal",,1.0,,Immediate,Yes,,,,4 Floors,
"Residential land / Plot in Neelbad, Bhopal","Neelbad, Bhopal",₹47 Lac,₹940 /sqft,"5,000 sqft",(465 sqm),Plot Area,Ready To Move,"Arjent sell karani he. National stadium, four lene rode.Green wood covered compass.","Plot area 5000
(464.52 sq.m.)
l x b : 71.50 ft.(21.79 mt.) x 70.00 ft.(21.33 mt.)  
sq.ft.","₹ 47 Lac
@ 940 per sq.ft. (All inclusive)","Neelbad, Bhopal",East,1.0,"Pool,Main Road,Park/Garden,Others",Immediate,,Yes,,,,
"Residential land / Plot in Hoshangabad Road, Bhopal",Aryavrat British Park,₹1.55 Cr,"₹3,195 /sqft","4,850 sqft",(451 sqm),Plot Area,Ready To Move,Double corner plot in covered campus with amenities and near to main highway hoshangabad road,"Plot area 4850
(450.58 sq.m.)
l x b : 100.00 ft.(30.48 mt.) x 48.50 ft.(14.78 mt.)  
sq.ft.","₹ 1.55 Crore+ Govt Charges & Tax
@ 3,195 per sq.ft. (Negotiable) View Price Details","Aryavrat British Park
Hoshangabad Road, Bhopal",North-East,3.0,"Park/Garden,Club,Main Road",Immediate,,,,,,Yes
"Residential land / Plot in BDA Colony, Bhopal","BDA Colony, Bhopal",₹52 Lac,"₹3,581 /sqft","1,452 sqft",(135 sqm),Plot Area,Ready To Move,Bda property on 60ft road north facing good for residential as well as commercial use,"Plot area 1452
(134.9 sq.m.)
l x b : 49.50 ft.(15.09 mt.) x 29.50 ft.(8.99 mt.)  
sq.ft.","₹ 52 Lac+ Govt Charges & Tax
@ 3,581 per sq.ft. (Negotiable) View Price Details","BDA Colony, Bhopal",North,1.0,Main Road,Immediate,,,,Yes,,
"Residential land / Plot in E 5 Arera colony, Bhopal","E 5 Arera colony, Bhopal",₹9.5 Cr,"₹19,000 /sqft","5,000 sqft",(465 sqm),Plot Area,Ready To Move,Best plot in arera colony bhopal location,"Plot area 5000
(464.52 sq.m.)
l x b : 100.00 ft.(30.48 mt.) x 50.00 ft.(15.24 mt.)  
sq.ft.","₹ 9.5 Crore
@ 19,000 per sq.ft. View Price Details","E 5 Arera colony, Bhopal",North-East,2.0,"Pool,Club,Main Road,Park/Garden",,,Yes,,,,Yes
"Residential land / Plot in Bagmugaliya, Bhopal","Bagmugaliya, Bhopal",₹1.2 Cr,"₹5,555 /sqft","2,160 sqft",(201 sqm),Plot Area,Ready To Move,"Plot for sale in bagmugaliya is available in bhopal. This locality resonates with your modern lifestyle. It's a 2160 sq.Ft. Super built up area property. Construction on this property can be easily done upto 2 floors. Immediately, possession of property can be transferred. The property belongs to owner through freehold ownership. This residential plot is all yours for 1.2 crore. Open for negoti...","Plot area 2160
(200.67 sq.m.)
l x b : 60.00 ft.(18.29 mt.) x 35.00 ft.(10.67 mt.)  
sq.ft.","₹ 1.2 Crore
@ 5,555 per sq.ft. (Negotiable) View Price Details","Bagmugaliya, Bhopal",East,1.0,,Immediate,,Yes,,Yes,,
"Residential land / Plot in Saket Nagar, Bhopal","Saket Nagar, Bhopal",₹2.11 Cr,"₹8,178 /sqft","2,580 sqft",(240 sqm),Plot Area,Ready To Move,Planning to build residence in bhopal? This plot in saket nagar is the best deal for you. It spans over spectacular 2580 sq.Ft. Super built up area. Up to 2 floors can be easily built on this land. Possession of land can be secured immediately. The owner of the property has leasehold entitlement over the land. The asking price is only 2.11 crore. Negotiable. The residential plot is east-Facing.,"Plot area 2580
(239.69 sq.m.)  
sq.ft.","₹ 2.11 Crore
@ 8,178 per sq.ft. (Negotiable) View Price Details","Saket Nagar, Bhopal",East,1.0,Park/Garden,Immediate,,,,Yes,,
"Residential land / Plot in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹61 Lac,"₹4,066 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,Looking for a plot in a prime location of bhopal? This plot in awadhpuri is the best deal for you. This 1500 sq.Ft. Super built up area plot is your opportunity to build a exceptional residence. Expected possession of property immediately. Currently the nature of ownership of the property is freehold. The expected price for the property is just 61 lac and it is negotiable. This plot is facing t...,"Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 61 Lac
@ 4,066 per sq.ft. (Negotiable) View Price Details","Awadhpuri, Bhopal",South,1.0,"Main Road,Park/Garden",Immediate,,,,Yes,,
"Residential land / Plot in Ratanpur, Bhopal","Ratanpur, Bhopal",₹1.14 Cr,"₹1,510 /sqft","7,545 sqft",(701 sqm),Plot Area,Ready To Move,For your dream bungalow book property today,"Plot area 7545
(700.95 sq.m.)
l x b : 100.00 ft.(30.48 mt.) x 75.00 ft.(22.86 mt.)  
sq.ft.","₹ 1.14 Crore
@ 1,510 per sq.ft. (All inclusive, Negotiable) View Price Details","Ratanpur, Bhopal",West,1.0,"Park/Garden,Others,Main Road",,,Yes,,Yes,,
"Residential land / Plot in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹55 Lac,"₹4,230 /sqft","1,300 sqft",(121 sqm),Plot Area,Ready To Move,This plot in awadhpuri provides you great opportunity to build a fabulous residence in bhopal. It spans over spectacular 1300 sq.Ft. Super built up area. This property allows you to construct upto 2 floors. Expected possession of property immediately. The property is owned under freehold contract. The plot is available at a price of 55 lac. The owner is open for negotiation. This residential pl...,"Plot area 1300
(120.77 sq.m.)  
sq.ft.","₹ 55 Lac
@ 4,230 per sq.ft. (Negotiable) View Price Details","Awadhpuri, Bhopal",West,1.0,"Main Road,Park/Garden",,,Yes,,Yes,,
"Residential land / Plot in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹10 Lac,"₹1,666 /sqft",600 sqft,(56 sqm),Plot Area,Ready To Move,"Planning to purchase a plot in bhopal? This plot in awadhpuri is situated in one of the excellent locations of the city. This 600 sq.Ft. Super built up area plot is your opportunity to build a exceptional residence. Ownership of this property provides you entitlement to construct upto 2 floors. To build the residence, possession is expected immediately. The property is owned under freehold cont...","Plot area 600
(55.74 sq.m.)
l x b : 30.00 ft.(9.14 mt.) x 20.00 ft.(6.10 mt.)  
sq.ft.","₹ 10 Lac
@ 1,666 per sq.ft. (Negotiable) View Price Details","Awadhpuri, Bhopal",East,1.0,Main Road,,,Yes,,Yes,,
"Residential land / Plot in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹18 Lac,"₹2,250 /sqft",800 sqft,(74 sqm),Plot Area,Ready To Move,"Awadhpuri is an ideal location for buying residential plots in bhopal. This plot in awadhpuri is a great buy for you. The plot is around super built up area of 800 sq.Ft. In size. Here, a solid foundation can easily withhold construction of 2 floors. The possession of the property can be received immediately. The type of ownership is freehold. The price of this massive plot is just 18 lac. Furt...","Plot area 800
(74.32 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 20.00 ft.(6.10 mt.)  
sq.ft.","₹ 18 Lac
@ 2,250 per sq.ft. (Negotiable) View Price Details","Awadhpuri, Bhopal",East,1.0,"Main Road,Park/Garden",,,Yes,,Yes,,
"Residential land / Plot in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹24.5 Lac,"₹2,333 /sqft","1,050 sqft",(98 sqm),Plot Area,Ready To Move,"Plot for sale in awadhpuri is available in bhopal. This locality resonates with your modern lifestyle. It spans over spectacular 1050 sq.Ft. Super built up area. Here, a solid foundation can easily withhold construction of 2 floors. The possession of the property can be received immediately. Currently the nature of ownership of the property is freehold. The expected price for the property is ju...","Plot area 1050
(97.55 sq.m.)  
sq.ft.","₹ 24.5 Lac
@ 2,333 per sq.ft. (Negotiable) View Price Details","Awadhpuri, Bhopal",West,1.0,Park/Garden,,,Yes,,Yes,,
"Residential land / Plot in Arvind Vihar, Bhopal","Arvind Vihar, Bhopal",₹1.16 Cr,"₹7,187 /sqft","1,614 sqft",(150 sqm),Plot Area,Ready To Move,Premium location plot,"Plot area 1614
(149.95 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 33.00 ft.(10.06 mt.)  
sq.ft.","₹ 1.16 Crore
@ 7,187 per sq.ft. (All inclusive, Negotiable) View Price Details","Arvind Vihar, Bhopal",South,1.0,"Park/Garden,Others,Main Road",Immediate,,,,Yes,,
"Residential land / Plot in Rajat Bihar Colony, Bhopal","Rajat Bihar Colony, Bhopal",₹51 Lac,"₹6,071 /sqft",840 sqft,(78 sqm),Plot Area,Ready To Move,"Plot for sale Prime location in covered campus Area 840 sqft Size 21x40 East facing Rajat vihar, narmadapuram road Expected price @6000","Plot area 840
(78.04 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 21.00 ft.(6.40 mt.)  
sq.ft.","₹ 51 Lac
@ 6,071 per sq.ft. (Negotiable) View Price Details","Rajat Bihar Colony, Bhopal",East,1.0,,Immediate,,,,Yes,2 Floors,
"Residential land / Plot in Mendua, Bhopal",Sid Saffron Valley,₹9.6 Lac,"₹1,600 /sqft",600 sqft,(56 sqm),Plot Area,Ready To Move,Good location with beautiful views all around.,"Plot area 600
(55.74 sq.m.)
l x b : 30.00 ft.(9.14 mt.) x 20.00 ft.(6.10 mt.)  
sq.ft.","₹ 9.6 Lac
@ 1,600 per sq.ft.","Sid Saffron Valley
Mendua, Bhopal",,1.0,"Park/Garden,Others",Immediate,,Yes,,,3 Floors,
"Residential land / Plot in Ruchi Lifescape, Bhopal","Ruchi Lifescape, Bhopal",₹1.1 Cr,"₹3,754 /sqft","2,530 sqft",(235 sqm),Plot Area,Ready To Move,Thee sides open and big space for parking and garden,"Plot area 2530
(235.04 sq.m.)  
sq.ft.","₹ 1.1 Crore
@ 3,754 per sq.ft. (All inclusive, Negotiable)",", Bhopal",North-East,3.0,,,,Yes,,Yes,,Yes
"Residential land / Plot in Hoshangabad, Bhopal","Hoshangabad, Bhopal",₹40 Lac,"₹3,333 /sqft","1,200 sqft",(111 sqm),Plot Area,Ready To Move,1200 sq.Ft corner plot available for sale at indus town hoshangabad road bhopal,"Plot area 1200
(111.48 sq.m.)
l x b : 30.00 ft.(9.14 mt.) x 4.00 ft.(1.22 mt.)  
sq.ft.","₹ 40 Lac+ Govt Charges & Tax
@ 3,333 per sq.ft. View Price Details","Hoshangabad, Bhopal",South-West,2.0,Others,Immediate,,Yes,,,,
"Residential land / Plot in Danish Nagar, Bhopal","Danish Nagar, Bhopal",₹82 Lac,"₹5,466 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,Plot for sale in danish nagar is available in bhopal. This locality resonates with your modern lifestyle. It spreads over 1500 sq.Ft. Super built up area. Up to 2 floors can be easily built on this land. Possession of land can be secured immediately. The property is owned under freehold contract. The plot is available at a price of 82 lac. The owner is open for negotiation. This property faces ...,"Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 82 Lac
@ 5,466 per sq.ft. (Negotiable) View Price Details","Danish Nagar, Bhopal",East,1.0,Park/Garden,Immediate,,,,Yes,,
"Residential land / Plot in Katara Hills, Bhopal","Katara Hills, Bhopal",₹65 Lac,"₹4,333 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,"To build a splendid residence, this plot in katara hills, bhopal is the best fit for you. It's a 1500 sq.Ft. Super built up area property. Construction on this property can be easily done upto 2 floors. Immediately, possession of property can be transferred. The property belongs to owner through freehold ownership. This residential plot is all yours for 65 lac. Open for negotiation. It's a east...","Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 65 Lac
@ 4,333 per sq.ft. (Negotiable) View Price Details
Price of property Rs65 Lac
Negotiable
Rate per sq.ft.
₹ 4,333 per sq.ft.
Brokerage
2% (Non-Negotiable)","Katara Hills, Bhopal",East,1.0,Park/Garden,Immediate,,Yes,,,,
,,,,,,,,,"Plot area 15000
(1393.55 sq.m.)
l x b : 150.00 ft.(45.72 mt.) x 100.00 ft.(30.48 mt.)  
sq.ft.","₹ 75 Lac
@ 500 per sq.ft. (Negotiable)","Barkheda Bonder, Bhopal",,4.0,Main Road,Immediate,No,,,,,
,,,,,,,,,"Plot area 1614
(149.95 sq.m.)  
sq.ft.","₹ 1.1 Crore
@ 6,815 per sq.ft. (Negotiable) View Price Details
Price of property Rs1.1 Crore
Negotiable
Rate per sq.ft.
₹ 6,815 per sq.ft.
Brokerage
2% (Non-Negotiable)","Arvind Vihar, Bhopal",South,1.0,,Immediate,,,,Yes,2 Floors,
"Residential land / Plot in Chuna Bhatti, Bhopal","Chuna Bhatti, Bhopal",₹1 Cr,"₹8,333 /sqft","1,200 sqft",(111 sqm),Plot Area,Ready To Move,Good for residential use,"Plot area 1200
(111.48 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 1 Crore
@ 8,333 per sq.ft. (Negotiable) View Price Details
Price of property Rs1 Crore
Negotiable
Rate per sq.ft.
₹ 8,333 per sq.ft.
Brokerage
2% (Non-Negotiable)","Chuna Bhatti, Bhopal",East,1.0,Main Road,Immediate,,,,Yes,,
"Residential land / Plot in Bypass Road, Bhopal","Bypass Road, Bhopal",₹25 Lac,"₹1,851 /sqft","1,350 sqft",(125 sqm),Plot Area,Ready To Move,"We are proud owners of land available for sale in bypass road, shimla. Available at price of rs 25 lacs. It has plot area of 1350 sq ft. It is a freehold property","Plot area 1350
(125.42 sq.m.)  
sq.ft.","₹ 25 Lac
@ 1,851 per sq.ft.","Bypass Road, Bhopal",,,,Immediate,Yes,,,,,
"Residential land / Plot in Transport Nagar, Bhopal","Transport Nagar, Bhopal",₹94.5 Cr,"₹1,033 /sqft","9,14,760 sqft","(84,984 sqm)",Plot Area,Ready To Move,"Spacious, ready to build plot in transport nagar, bhopal. It spans over spectacular 21 acres super built up area. Up to 10 floors can be easily built on this land. Possession of land can be secured immediately. Currently the nature of ownership of the property is freehold. The expected price for the property is just 94.5 crore and it is negotiable. This property faces the west direction.","Plot area 21
(84984.06 sq.m.)  
acres","₹ 94.5 Crore
@ 4,50,00,000 per acres (Negotiable) View Price Details
Price of property Rs94.5 Crore
Negotiable
Rate per acres
₹ 4,50,00,000 per acres
Brokerage
2% (Non-Negotiable)","Transport Nagar, Bhopal",West,1.0,,Immediate,No,,,,10 Floors,
"Residential land / Plot in Salaiya, Bhopal",BDA Sardar Vallab Bhai Patel Apsi Karar Yojna,₹32 Lac,"₹4,341 /sqft",645 sqft,(60 sqm),Plot Area,Ready To Move,Plot for sale at prime location of bawadiya kalan in bda salaiya bhopal. This plot is very close to main road and is best for residential purpose. Sagar public school and apollo hospital is nearby. For more details contact komal.,"Plot area 645
(59.92 sq.m.)  
sq.ft.","₹ 32 Lac
@ 4,341 per sq.ft. (All inclusive) View Price Details
Price of property Rs32 Lac
Rate per sq.ft.
₹ 4,341 per sq.ft.
Brokerage
2% (Non-Negotiable)","BDA Sardar Vallab Bhai Patel Apsi Karar Yojna
Salaiya, Bhopal",,1.0,Others,Immediate,,,,Yes,3 Floors,
"Residential land / Plot in Salaiya, Bhopal",BDA Sardar Vallab Bhai Patel Apsi Karar Yojna,₹47 Lac,"₹4,700 /sqft","1,000 sqft",(93 sqm),Plot Area,Ready To Move,Plot for sale at prime location of bawadiya kalan in bda. It is a east facing and corner only one unit left. Plot area is 1452 sqft. Hurry up. For more details contact komal.,"Plot area 1000
(92.9 sq.m.)  
sq.ft.","₹ 47 Lac
@ 4,700 per sq.ft. (All inclusive, Negotiable)","BDA Sardar Vallab Bhai Patel Apsi Karar Yojna
Salaiya, Bhopal",East,1.0,Park/Garden,Immediate    View Construction Status,,,,,3 Floors,
"Residential land / Plot in Ratibad, Bhopal","Ratibad, Bhopal",₹8 Lac,₹894 /sqft,894 sqft,(83 sqm),Plot Area,Ready To Move,Dwarika puri phese 1 me plot ratibad se 1 km duri par hai plot resale me hai plot 8 lakh dedege plot area hai 894 hai,"Plot area 894
(83.06 sq.m.)  
sq.ft.","₹ 8 Lac
@ 894 per sq.ft.","Ratibad, Bhopal",,1.0,,Immediate,No,,,,,
"Residential land / Plot in Salaiya, Bhopal",BDA Sardar Vallab Bhai Patel Apsi Karar Yojna,₹60 Lac,"₹4,615 /sqft","1,300 sqft",(121 sqm),Plot Area,Ready To Move,"1300 sq.Ft north facing plot for sale at sardar vallabhbhai project bda saliya , bawadial kala location in bhop","Plot area 1300
(120.77 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 60 Lac+ Govt Charges & Tax
@ 4,615 per sq.ft. View Price Details
Price of property Rs60 Lac
Rate per sq.ft.
₹ 4,615 per sq.ft.
Brokerage
₹ 60,000/- (Non-Negotiable)","BDA Sardar Vallab Bhai Patel Apsi Karar Yojna
Salaiya, Bhopal",North,1.0,Main Road,Immediate    View Construction Status,,Yes,,,,
